name,state,FDR,A1,A2,A3,B1,B2,B3
GENE-32,YES,0,19,24,22,1,3,4
GENE-130,YES,0,46,58,47,38,27,26
GENE-222,YES,0,969,935,913,31,26,36
GENE-256,YES,0,477,475,402,207,136,137
GENE-349,YES,0,45,27,35,76,92,82
GENE-364,YES,0,10,7,10,18,19,13
GENE-412,YES,0,16,9,27,65,27,15
GENE-471,YES,0,35,38,28,61,59,78
GENE-474,YES,0,262,236,302,260,312,279
GENE-537,YES,0,30,19,18,1,2,0
GENE-673,YES,0,61,82,71,44,66,36
GENE-724,YES,0,280,156,171,383,557,663
GENE-735,YES,0,107,88,89,28,22,28
GENE-743,YES,0,58,42,57,39,23,35
GENE-857,YES,0,179,256,254,14,8,13
GENE-915,YES,0,45,37,33,86,155,118
GENE-969,YES,0,269,339,203,238,1304,293
GENE-1054,YES,0,476,576,208,157,157,269
GENE-1136,YES,0,37,30,33,59,43,60
GENE-1195,YES,0,87,74,71,82,79,78
GENE-1229,YES,0,36,20,34,70,82,71
GENE-1257,YES,0,26,29,30,10,6,10
GENE-1311,YES,0,7149,7040,7070,166,227,215
GENE-1327,YES,0,50,53,48,18,18,19
GENE-1408,YES,0,466,538,406,116,104,97
GENE-1492,YES,0,16,20,44,8,1,2
GENE-1532,YES,0,93,123,101,447,285,402
GENE-1758,YES,0,323,408,551,264,350,311
GENE-1831,YES,0,1458,1396,1175,351,277,343
GENE-1966,YES,0,15,14,22,22,13,25
GENE-2072,YES,0,190,213,272,674,502,653
GENE-2340,YES,0,70,117,145,466,246,276
GENE-2426,YES,0,23,54,39,48,41,52
GENE-2521,YES,0,118,105,84,199,256,172
GENE-2720,YES,0,137,256,215,40,19,26
GENE-2738,YES,0,94,85,74,1538,1265,620
GENE-2775,YES,0,2578,2376,2567,2107,1114,2090
GENE-2801,YES,0,48,64,75,57,85,63
GENE-2805,YES,0,533,523,991,91,65,123
GENE-2878,YES,0,762,422,630,515,281,308
GENE-2947,YES,0,289,211,276,69,55,78
GENE-2974,YES,0,1162,1232,1072,37,82,45
GENE-3016,YES,0,65,114,110,153,397,337
GENE-3089,YES,0,201,208,207,11,13,14
GENE-3132,YES,0,107,152,127,239,219,191
GENE-3217,YES,0,7,6,3,20,11,18
GENE-3587,YES,0,66,80,38,195,198,210
GENE-3688,YES,0,1673,2010,1402,1492,504,880
GENE-3752,YES,0,220,203,235,408,421,505
GENE-3772,YES,0,782,733,671,1235,1129,1389
GENE-3781,YES,0,583,477,223,258,142,204
GENE-3798,YES,0,699,532,628,171,152,145
GENE-3861,YES,0,1076,1444,1460,218,209,258
GENE-3925,YES,0,12,25,26,66,68,63
GENE-4001,YES,0,6676,4628,5743,1477,2599,2947
GENE-4035,YES,0,306,313,243,1863,2396,2945
GENE-4038,YES,0,15,11,16,71,83,56
GENE-4092,YES,0,11,12,11,106,83,94
GENE-4144,YES,0,3,1,4,26,21,24
GENE-4237,YES,0,27,20,33,253,217,184
GENE-4316,YES,0,22,19,22,43,66,47
GENE-4373,YES,0,517,264,264,43,19,63
GENE-4382,YES,0,89,109,109,128,74,95
GENE-4388,YES,0,101,124,122,51,69,53
GENE-4508,YES,0,51842,48774,37233,73064,63418,54070
GENE-4556,YES,0,128,191,122,135,107,101
GENE-4613,YES,0,27,75,15,1195,640,385
GENE-4760,YES,0,56756,40506,68128,4247,6264,7342
GENE-4780,YES,0,18693,11970,22213,1440,1679,1848
GENE-4802,YES,0,943,689,842,252,312,288
GENE-4857,YES,0,185,204,199,818,758,739
GENE-4956,YES,0,21,11,21,11,5,7
GENE-5083,YES,0,160,117,148,45,35,115
GENE-5190,YES,0,32,45,35,6,7,7
GENE-5231,YES,0,153,140,131,28,35,24
GENE-5250,YES,0,54,82,51,3,4,1
GENE-5273,YES,0,42,35,34,91,134,161
GENE-5393,YES,0,406,577,635,840,869,822
GENE-5443,YES,0,179,237,195,70,72,62
GENE-5468,YES,0,1444,2260,1342,54,70,57
GENE-5469,YES,0,55,44,58,261,289,209
GENE-5504,YES,0,7549,8462,7311,2700,2877,2954
GENE-5834,YES,0,28,32,23,7,7,2
GENE-5938,YES,0,150,278,256,403,484,354
GENE-5941,YES,0,93,238,142,167,210,192
GENE-6077,YES,0,216,67,106,102,69,125
GENE-6236,YES,0,30,27,23,0,2,1
GENE-6422,YES,0,111,104,79,765,650,721
GENE-6490,YES,0,14,18,18,18,20,35
GENE-6583,YES,0,48,56,74,129,152,112
GENE-6655,YES,0,238,202,175,15,10,17
GENE-6918,YES,0,124,122,103,32,30,26
GENE-6987,YES,0,275,329,260,342,229,313
GENE-7057,YES,0,438,341,312,69,85,95
GENE-7197,YES,0,477,473,478,1456,1084,1180
GENE-7643,YES,0,1219,1178,1158,72,71,77
GENE-7657,YES,0,360,495,649,182,228,194
GENE-7659,YES,0,111,49,192,547,495,426
GENE-7767,YES,0,136,131,138,124,123,145
GENE-7808,YES,0,8,6,13,8,12,13
GENE-7823,YES,0,13,15,12,78,56,54
GENE-7922,YES,0,59,84,102,19,30,21
GENE-8095,YES,0,66,81,57,1153,1333,1379
GENE-8147,YES,0,41,53,36,76,63,87
GENE-8170,YES,0,154,117,162,330,415,564
GENE-8330,YES,0,2806,5032,3642,173,232,116
GENE-8359,YES,0,118,195,176,66,48,78
GENE-8428,YES,0,254,463,409,517,471,541
GENE-8437,YES,0,29,35,28,360,279,329
GENE-8535,YES,0,489,867,674,367,593,377
GENE-8670,YES,0,50,58,66,64,68,58
GENE-8759,YES,0,411,170,145,23,86,40
GENE-8776,YES,0,131,142,113,5,5,1
GENE-8803,YES,0,8,4,7,182,107,108
GENE-8855,YES,0,104,191,143,49,49,56
GENE-9055,YES,0,154,113,177,694,812,767
GENE-9252,YES,0,134,82,111,47,47,54
GENE-9256,YES,0,416,400,326,410,402,437
GENE-9487,YES,0,237,278,245,179,155,137
GENE-9524,YES,0,334,224,283,1645,965,1833
GENE-9536,YES,0,17,22,22,5,3,6
GENE-9916,YES,0,15,19,21,28,21,42
GENE-9946,YES,0,3167,3065,2090,1096,1315,1317
GENE-9962,YES,0,3,4,1,35,22,28
GENE-10263,YES,0,1772,1794,1633,1550,1406,1234
GENE-10270,YES,0,301,271,271,111,77,95
GENE-10420,YES,0,82,113,98,63,103,55
GENE-10436,YES,0,17,18,17,2,5,3
GENE-10675,YES,0,212,162,255,463,610,398
GENE-10797,YES,0,2817,3402,3233,1894,2022,1463
GENE-10827,YES,0,24,24,26,8,18,12
GENE-10950,YES,0,826,1040,713,34,34,37
GENE-11123,YES,0,95,101,86,644,380,279
GENE-11168,YES,0,20,15,21,6,3,5
GENE-11206,YES,0,1587,1588,1556,4037,4213,4217
GENE-11364,YES,0,19,0,57,0,0,0
GENE-11394,YES,0,18,14,13,47,47,44
GENE-11550,YES,0,30,17,33,303,258,274
GENE-11613,YES,0,314,201,221,3142,3385,2574
GENE-11741,YES,0,2749,2028,2426,5147,3898,3601
GENE-11762,YES,0,6,3,12,19,17,25
